Baseline Data,,,,Pandemic Data,,,,,,Centers > 10,,,,,,High Prevalence States,,,,,,Open the Whole Time,,,,
State,Town/County/City,Age Ranges,Single or Multiple Locations?,Opening Details,Number of Students Served During Pandemic,Number of Staff During Pandemic,COVID-19 Cases in Children,COVID-19 Cases in Staff,,Kids,Staff,Kid COVID,Staff COVID,Count,,Count of Kids,Count of Staff,Kids COVID,Staff COVID,Total Centers,,Kids,Staff,Kid COVID,Staff COVID,Count
Texas,Midland,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,160,25,0,0,,160,25,0,0,1,,0,0,0,0,0,,0,0,0,0,0
Pennsylvania,Berks,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,6,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,160,25,0,0,1
California,San Bernadino,"1 to 2 years, 2 to 4 years",Single,Open the whole time,2,1,0,0,,0,0,0,0,0,,2,1,0,0,1,,6,1,0,0,1
California ,,"2 to 4 years, 5 to 10 years",Single,Closed for a portion,3,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Michigan,Wayne,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,20,4,0,0,,20,4,0,0,1,,0,0,0,0,0,,3,1,0,0,1
California,Tulare,2 to 4 years,Single,Open the whole time,30,8,0,0,,30,8,0,0,1,,30,8,0,0,1,,20,4,0,0,1
California,San Francisco,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,2,0,0,0,,0,0,0,0,0,,2,0,0,0,1,,30,8,0,0,1
California,Los Angeles,2 to 4 years,Single,Closed for a portion,0,7,0,0,,0,0,0,0,0,,0,7,0,0,1,,0,0,0,0,0
Pennsylvania,Carbon,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,4,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,7,0,0,1
Gerogia,Fulton,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,34,8,0,0,,34,8,0,0,1,,0,0,0,0,0,,0,0,0,0,0
North Carolina,Davidson,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Closed for a portion,45,10,0,0,,45,10,0,0,1,,0,0,0,0,0,,0,0,0,0,0
Minnesota,Hennepin,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,40,15,0,1,,40,15,0,1,1,,0,0,0,0,0,,45,10,0,0,1
California,,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,6,2,0,0,,0,0,0,0,0,,6,2,0,0,1,,40,15,0,1,1
Texas,Harris,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,20,7,0,0,,20,7,0,0,1,,0,0,0,0,0,,0,0,0,0,0
Colorado,Araphoe,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,12,6,0,0,,12,6,0,0,1,,0,0,0,0,0,,20,7,0,0,1
Texas,Tarrant,"2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,5,12,0,0,,0,0,0,0,0,,0,0,0,0,0,,12,6,0,0,1
California,San Mateo,"2 to 4 years, 5 to 10 years",Multiple,Closed for a portion,12,3,0,0,,12,3,0,0,1,,12,3,0,0,1,,0,0,0,0,0
California,San Mateo,2 to 4 years,Single,Closed for a portion,12,10,0,0,,12,10,0,0,1,,12,10,0,0,1,,0,0,0,0,0
Texas,Hood,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,20,4,0,0,,20,4,0,0,1,,0,0,0,0,0,,0,0,0,0,0
New Jersey,Warren,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,35,7,0,0,,35,7,0,0,1,,0,0,0,0,0,,20,4,0,0,1
Texas,Williamson,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,10,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Washington,Clallam,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,15,5,0,0,,15,5,0,0,1,,15,5,0,0,1,,10,2,0,0,1
Wisconsin ,Marathon,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,27,10,0,0,,27,10,0,0,1,,0,0,0,0,0,,0,0,0,0,0
Pennsylvania,Cumberland,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,8,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,27,10,0,0,1
Georgia,Clayton,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,10,5,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Texas,Lubbock,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,95,44,0,0,,95,44,0,0,1,,0,0,0,0,0,,10,5,0,0,1
Georgia ,Liberty ,"6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,10,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,95,44,0,0,1
Oregon,Multnomah,"2 to 4 years, 5 to 10 years",Multiple,Closed for a portion,100,29,0,0,,100,29,0,0,1,,0,0,0,0,0,,0,0,0,0,0
California,San Benito,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,2,1,0,0,,0,0,0,0,0,,2,1,0,0,1,,100,29,0,0,1
California,Los Angeles,2 to 4 years,Single,Open the whole time,10,5,0,0,,0,0,0,0,0,,10,5,0,0,1,,2,1,0,0,1
Washington,King,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,6,1,0,0,,0,0,0,0,0,,6,1,0,0,1,,10,5,0,0,1
Oregon,Deshutes,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,30,7,0,0,,30,7,0,0,1,,0,0,0,0,0,,6,1,0,0,1
Illinois ,Cook,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Multiple,Open the whole time,22,7,0,0,,22,7,0,0,1,,0,0,0,0,0,,30,7,0,0,1
Maryland ,Montgomery ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,8,,0,0,,0,0,0,0,0,,0,0,0,0,0,,22,7,0,0,1
California,San Mateo,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Closed for a portion,3,1,0,0,,0,0,0,0,0,,3,1,0,0,1,,0,0,0,0,0
California,Alameda,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,3,1,0,0,,0,0,0,0,0,,3,1,0,0,1,,3,1,0,0,1
Pennsylvania,Montgomery,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,6,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Georgia,Cobb,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Closed for a portion,60,17,1,0,,60,17,1,0,1,,0,0,0,0,0,,0,0,0,0,0
California ,San Bernardino ,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,8,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,60,17,1,0,1
Illinois,St Clair ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,19,5,0,0,,19,5,0,0,1,,0,0,0,0,0,,0,0,0,0,0
California,Contra costa,2 to 4 years,Single,Closed for a portion,8,2,0,0,,0,0,0,0,0,,8,2,0,0,1,,0,0,0,0,0
Rhode Island,US,"1 to 2 years, 2 to 4 years",Single,Closed for a portion,30,2,0,0,,30,2,0,0,1,,0,0,0,0,0,,0,0,0,0,0
California,Orange ,2 to 4 years,Single,Closed for a portion,12,1,0,0,,12,1,0,0,1,,12,1,0,0,1,,0,0,0,0,0
Indiana,Tippecanoe,"2 to 4 years, 5 to 10 years",Single,Open the whole time,12,5,0,0,,12,5,0,0,1,,0,0,0,0,0,,12,1,0,0,1
Arizona ,Maricopa,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,80,30,0,0,,80,30,0,0,1,,0,0,0,0,0,,12,5,0,0,1
Virginia ,Suffolk ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Multiple,Open the whole time,24,10,0,0,,24,10,0,0,1,,0,0,0,0,0,,80,30,0,0,1
Illinois,United States,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,40,10,0,1,,40,10,0,1,1,,0,0,0,0,0,,0,0,0,0,0
Texas,Panola,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,36,11,0,1,,36,11,0,1,1,,0,0,0,0,0,,0,0,0,0,0
Massachusetts,Bristol,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,12,2,0,0,,12,2,0,0,1,,0,0,0,0,0,,36,11,0,1,1
Florida,Lake,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,15,15,0,0,,15,15,0,0,1,,0,0,0,0,0,,12,2,0,0,1
Texas,Hays,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,15,6,0,0,,15,6,0,0,1,,0,0,0,0,0,,15,15,0,0,1
Arizona,Pima,"1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,10,3,0,0,,0,0,0,0,0,,0,0,0,0,0,,15,6,0,0,1
Mississippi,Jackson,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,40,10,0,0,,40,10,0,0,1,,0,0,0,0,0,,10,3,0,0,1
Florida,hendry,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Multiple,Closed for a portion,35,10,4,1,,35,10,4,1,1,,0,0,0,0,0,,0,0,0,0,0
Washington ,Snohomish ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,6,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,35,10,4,1,1
Georgia,Fulton,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,70,25,0,0,,70,25,0,0,1,,0,0,0,0,0,,6,1,0,0,1
North Carolina,Buncombe,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,24,14,0,0,,24,14,0,0,1,,0,0,0,0,0,,70,25,0,0,1
Florida ,MIAMI DADE ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,15,25,0,0,,15,25,0,0,1,,0,0,0,0,0,,24,14,0,0,1
Maryland,Harford ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,2,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Arizona ,Maricopa ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,4,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,2,0,0,0,1
California ,Los Angeles,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Multiple,Open the whole time,5,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,4,1,0,0,1
Texas,Hood,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,12,1,0,0,,12,1,0,0,1,,0,0,0,0,0,,5,1,0,0,1
Maryland ,Kent ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,5,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,12,1,0,0,1
Illinois ,Fulton ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,14,5,0,0,,14,5,0,0,1,,0,0,0,0,0,,5,0,0,0,1
Washington,KING,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,5,2,0,0,,0,0,0,0,0,,5,2,0,0,1,,14,5,0,0,1
California,Los Angeles,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Closed for a portion,23,10,0,0,,23,10,0,0,1,,23,10,0,0,1,,0,0,0,0,0
Texas,Bell,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,6,0,0,,,0,0,0,0,0,,0,0,0,0,0,,23,10,0,0,1
Georgia,Dekalb,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,7,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,6,0,0,,1
Maryland ,Baltimore ,"6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,8,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,7,0,0,0,1
Texas,Harris,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years",Single,Closed for a portion,2,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
New Jersey,Mercer county,"1 to 2 years, 2 to 4 years, 5 to 10 years",Multiple,Closed for a portion,3,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Texas,Bell,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Multiple,Open the whole time,12,4,0,0,,12,4,0,0,1,,0,0,0,0,0,,3,2,0,0,1
Minnesota,Goodhue,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,60,12,0,0,,60,12,0,0,1,,0,0,0,0,0,,0,0,0,0,0
Washington,King,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,59,27,0,0,,59,27,0,0,1,,59,27,0,0,1,,60,12,0,0,1
California ,San Mateo county ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,6,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,59,27,0,0,1
California ,Los Angeles,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,35,14,0,0,,35,14,0,0,1,,0,0,0,0,0,,0,0,0,0,0
California ,Marin ,"6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,5,3,0,0,,0,0,0,0,0,,0,0,0,0,0,,35,14,0,0,1
Texas ,Harris ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Multiple,Open the whole time,16,10,0,0,,16,10,0,0,1,,0,0,0,0,0,,5,3,0,0,1
Pennsylvania,Allegheny,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,3,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,16,10,0,0,1
Maryland,,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,1,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,3,1,0,0,1
Maryland,StMarys,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,5,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Minnesota,Ramsey,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,7,3,0,0,,0,0,0,0,0,,0,0,0,0,0,,5,1,0,0,1
Texas,Tarrant ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,5,4,0,0,,0,0,0,0,0,,0,0,0,0,0,,7,3,0,0,1
North Carolina,Guilford,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,22,4,0,0,,22,4,0,0,1,,0,0,0,0,0,,5,4,0,0,1
Georgia,Coweta,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,3,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Washington,King ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,11,2,0,0,,11,2,0,0,1,,11,2,0,0,1,,3,1,0,0,1
Virginia,Richmond City,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Closed for a portion,15,10,0,0,,15,10,0,0,1,,0,0,0,0,0,,0,0,0,0,0
Texas,Dallas,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,20,9,0,0,,20,9,0,0,1,,0,0,0,0,0,,15,10,0,0,1
Pennsylvania,Berks,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,6,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,20,9,0,0,1
Wisconsin,Rock,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,22,10,0,0,,22,10,0,0,1,,0,0,0,0,0,,6,1,0,0,1
Massachusetts ,Worcester,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",,Closed for a portion,8,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Illinois,Cook,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",,Open the whole time,5,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,8,1,0,0,1
Texas,Hidalgo ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",,Closed for a portion,6,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Maryland ,Baltimore City,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,6,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,6,2,0,0,1
Maryland ,Prince George’s ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",,Open the whole time,8,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,6,2,0,0,1
Texas,Tarrant,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",,Open the whole time,55,10,0,0,,55,10,0,0,1,,0,0,0,0,0,,8,1,0,0,1
Maryland ,Calvert,"1 to 2 years, 2 to 4 years, 5 to 10 years",,Open the whole time,5,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,55,10,0,0,1
Washington,Spokane,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,15,3,0,0,,15,3,0,0,1,,15,3,0,0,1,,5,1,0,0,1
Texas,Harris,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,50,8,0,0,,50,8,0,0,1,,0,0,0,0,0,,15,3,0,0,1
Illinois ,Cook,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,5,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,50,8,0,0,1
Georgia,Fayette,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,6,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,5,2,0,0,1
California ,Orange,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",,Open the whole time,25,4,0,0,,25,4,0,0,1,,0,0,0,0,0,,6,1,0,0,1
Texas,Cameron,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,12,2,0,0,,12,2,0,0,1,,0,0,0,0,0,,25,4,0,0,1
Texas,Dallas,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",One Center,Open the whole time,20,9,0,0,,20,9,0,0,1,,0,0,0,0,0,,12,2,0,0,1
Georgia,Carroll,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,6,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,20,9,0,0,1
Massachusetts,Boston,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,6,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,6,2,0,0,1
Georgia ,Fulton ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,2,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Maryland ,Montgomery County,"2 to 4 years, 5 to 10 years",Single,Open the whole time,7,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,2,1,0,0,1
Indiana,Randolph,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,12,14,0,0,,12,14,0,0,1,,0,0,0,0,0,,7,2,0,0,1
California,San Francisco,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,0,0,0,0,,0,0,0,0,0,,0,0,0,0,1,,0,0,0,0,0
California,Orange,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Closed for a portion,27,10,0,0,,27,10,0,0,1,,27,10,0,0,1,,0,0,0,0,0
Washington,Snohomish,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,40,10,0,0,,40,10,0,0,1,,40,10,0,0,1,,27,10,0,0,1
California,Los Angeles,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,3,1,0,0,,0,0,0,0,0,,3,1,0,0,1,,40,10,0,0,1
Pennsylvania,Bucks,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,8,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
Georgia,Gwinnett ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,18,7,0,0,,18,7,0,0,1,,0,0,0,0,0,,8,2,0,0,1
California,Alameda,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,4,1,0,0,,0,0,0,0,0,,4,1,0,0,1,,18,7,0,0,1
California,San Mateo,2 to 4 years,One Center,Closed for a portion,12,10,0,0,,12,10,0,0,1,,12,10,0,0,1,,0,0,0,0,0
Pennsylvania,Northampton,"2 to 4 years, 5 to 10 years",Single,Open the whole time,3,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,12,10,0,0,1
California,Los Angeles,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",One Center,Open the whole time,7,3,0,0,,0,0,0,0,0,,7,3,0,0,1,,3,1,0,0,1
Washington ,King,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,3,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,7,3,0,0,1
California,Los Angeles,"2 to 4 years, 5 to 10 years",Single,Closed for a portion,59,10,0,0,,59,10,0,0,1,,59,10,0,0,1,,0,0,0,0,0
New Jersey ,Morris,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,4,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,59,10,0,0,1
Texas,Tarrant ,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,4,1,,,,0,0,0,0,0,,0,0,0,0,0,,4,2,0,0,1
Maryland,Montgomery ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years, Over 10",Single,Open the whole time,20,17,0,0,,20,17,0,0,1,,0,0,0,0,0,,4,1,,,1
Minnesota,Hennepin,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",One Center,Open the whole time,40,15,0,1,,40,15,0,1,1,,0,0,0,0,0,,20,17,0,0,1
Texas,Collin,"1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,6,2,0,0,,0,0,0,0,0,,0,0,0,0,0,,40,15,0,1,1
Washington,Pierce,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Closed for a portion,4,1,,0,,0,0,0,0,0,,4,1,,0,1,,0,0,0,0,0
Illinois,Dekalb ,"6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,5,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,4,1,,0,1
California,Los Angeles ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,5,0,0,0,,0,0,0,0,0,,5,0,0,0,1,,5,1,0,0,1
Oregon ,Washington ,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Open the whole time,28,8,0,0,,28,8,0,0,1,,0,0,0,0,0,,5,0,0,0,1
California,San Francisco,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years, 5 to 10 years",Single,Closed for a portion,12,3,0,0,,12,3,0,0,1,,12,3,0,0,1,,0,0,0,0,0
Maryland,Prince George,"6 weeks - 6 months, 1 to 2 years, 2 to 4 years",,Open the whole time,2,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,12,3,0,0,1
California,Los Angeles,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,10,1,0,0,,0,0,0,0,0,,10,1,0,0,1,,2,1,0,0,1
Texas,Usa,"6 weeks - 6 months, 6 months - 1 year, 1 to 2 years, 2 to 4 years",Single,Open the whole time,2,1,0,0,,0,0,0,0,0,,0,0,0,0,0,,10,1,0,0,1
